loan_id,loan_amount,region
169457,16000,Midwest
166145,16000,Midwest
162654,16000,Midwest
162783,16000,Midwest
162866,16000,Midwest
162893,16000,Midwest
163064,16000,Midwest
166203,16000,Midwest
163167,16000,Midwest
163162,16000,Midwest
163235,16000,Midwest
163309,16000,Midwest
163625,16000,Midwest
163703,16000,Midwest
166446,16000,Midwest
163790,16000,Midwest
163864,16000,Midwest
161830,16000,Midwest
164312,16000,Midwest
164318,16000,Midwest
167148,16000,Midwest
165136,16000,Midwest
167791,16000,Midwest
168078,16000,Midwest
165460,16000,Midwest
165510,16000,Midwest
168387,16000,Midwest
165596,16000,Midwest
168760,16000,Midwest
169022,16000,Midwest
169071,16000,Midwest
169510,16000,Midwest
169521,16000,Midwest
162245,16000,Midwest
162191,16000,Midwest
163617,16000,Midwest
163628,16000,Midwest
163923,16000,Midwest
164002,16000,Midwest
164379,16000,Midwest
164659,16000,Midwest
162067,16000,Midwest
164853,16000,Midwest
167184,16000,Midwest
167371,16000,Midwest
167384,16000,Midwest
167430,16000,Midwest
167454,16000,Midwest
167540,16000,Midwest
168006,16000,Midwest
167998,16000,Midwest
165420,16000,Midwest
168043,16000,Midwest
168459,16000,Midwest
168989,16000,Midwest
169012,16000,Midwest
169402,16000,Midwest
169569,16000,Midwest
162457,16000,Midwest
162483,16000,Midwest
162709,16000,Midwest
162971,16000,Midwest
163112,16000,Midwest
163141,16000,Midwest
163138,16000,Midwest
